name,address,lat,lng
1100고지습지,제주특별자치도 서귀포시 색달동 산 1-2,33.3575,126.46292
제주라프별빛축제,제주특별자치도 제주시 조천읍 선흘리 600-6,33.4865339,126.7079294
소인국테마파크,제주특별자치도 서귀포시 안덕면 서광리 725,33.2904213,126.322602
환상숲 곶자왈공원,제주특별자치도 제주시 한경면 녹차분재로 594-1,33.322342,126.26323
송악산,제주특별자치도 서귀포시 대정읍 상모리 131,33.207714,126.29099
수월봉 지질트레일,제주특별자치도 제주시 한경면 고산리 3762,33.293736,126.16281
휴애리 봄 수국축제,제주특별자치도 서귀포시 남원읍 신례리 2081,33.308964,126.633804
휴애리 매화축제,제주특별자치도 서귀포시 남원읍 신례리 2081,33.3089637,126.633806
휴애리 동백축제,제주특별자치도 서귀포시 남원읍 신례리 2081 (휴애리 자연생활공원 내),33.3089637,126.633806
휘닉스 제주 섭지코지,제주특별자치도 서귀포시 성산읍 고성리 127-2,33.430576,126.92777
협재굴(한림공원),제주특별자치도 제주시 한림읍 협재리 2487,33.3894949,126.2396825
헬로키티아일랜드,제주특별자치도 서귀포시 안덕면 상창리 1963-2,33.29015,126.3522
해비치호텔앤드리조트,제주특별자치도 서귀포시 표선면 표선리 40-69,33.32345,126.84478
해녀박물관,제주특별자치도 제주시 구좌읍 상도리 3204-1,33.5242827,126.8629097
항파두리항몽유적지,제주특별자치도 제주시 애월읍 상귀리 1012,33.452126,126.407455
한라수목원,제주특별자치도 제주시 수목원길 72,33.469604,126.4918
한라산어리목코스,제주특별자치도 제주시 1100로 2070-61,33.39223,126.49457
한담해변,제주특별자치도 제주시 애월읍 애월리 2533-1,33.46004182,126.3105424
플레이케이팝,제주특별자치도 서귀포시 색달동 2864-36,33.24992,126.41335
포레스트 판타지아,서귀포시 안덕면 일주서로 1836,33.256805,126.32163
퍼시픽 리솜 요트투어 샹그릴라,제주특별자치도 서귀포시 색달동 2950-5,33.2439248,126.4163378
퍼시픽 리솜 마린스테이지,제주특별자치도 서귀포시 색달동 2950-5,33.2444327,126.4161942
테디베어사파리 테지움,제주특별자치도 제주시 애월읍 소길리 155-106,33.4194584,126.383518
테디베어뮤지엄제주,제주특별자치도 서귀포시 색달동 2889,33.25021,126.41223
케이제주씨워킹,제주특별자치도 서귀포시 대정읍 하모리 646-20,33.2100551,126.2585746
캠핑트리펜션,제주특별자치도 제주시 애월읍 고성리 697,33.4108019,126.433164
춘심이네,제주특별자치도 서귀포시 안덕면 창천리 160-4,33.2647887,126.3707772
최남단 모슬포 방어축제,제주특별자치도 서귀포시 대정읍 하모리 646-20,33.210056,126.258575
초콜릿박물관,제주특별자치도 서귀포시 대정읍 일과리 551-18,33.25704,126.23002
차귀도,제주특별자치도 제주시 한경면 고산리 125,33.313435,126.148796
지니어스 로사이,제주특별자치도 서귀포시 성산읍 고성리 21,33.429596,126.9321
濟州膳제주선,제주특별자치도 서귀포시 안덕면 서광리 산 24,33.30761436,126.317513
제주현대미술관,제주특별자치도 제주시 한경면 저지리 2114-63,33.34026,126.2663
제주허브동산,제주특별자치도 서귀포시 표선면 표선리 2608,33.3225332,126.8228665
제주해양동물박물관,제주특별자치도 서귀포시 성산읍 수산리 3233,33.42965,126.855606
제주항공우주박물관,제주특별자치도 서귀포시 안덕면 서광리 산 39 항공우주박물관,33.30413,126.299675
제주하늘을날다(패러글라이딩),제주특별자치도 제주시 도남동 78,33.4910557,126.5317204
제주특별자치도 도립미술관,제주특별자치도 제주시 1100로 2894-78,33.45921,126.48759
제주커피박물관 바움 Baum,제주특별자치도 서귀포시 성산읍 고성리 2040-1,33.4398,126.89912
제주조천스위스마을게스트하우스,제주특별자치도 제주시 조천읍 와산리 1559-18,33.48262,126.68348
제주유리의성,제주특별자치도 제주시 한경면 저지리 3135-1,33.314835,126.273445
제주유리박물관,제주특별자치도 서귀포시 중산간서로 1403,33.278397,126.370186
제주윈터페스티벌,제주특별자치도 제주시 해안동 산 220-13,33.3967883,126.4878526
제주월드컵경기장,제주특별자치도 서귀포시 법환동 914,33.2472388,126.5092079
제주올레 7코스,제주특별자치도 서귀포시 서홍동 795-1,33.240437,126.548225
제주센트럴파크,제주특별자치도 제주시 조천읍 교래리 산 56-4,33.433598,126.67473
제주빅볼랜드,제주특별자치도 제주시 애월읍 어음리 산 3,33.3659432,126.35644
제주불빛정원 테마파크,제주특별자치도 제주시 애월읍 유수암리 1083,33.4222395,126.4092532
제주별빛누리공원[제한적운영중],제주특별자치도 제주시 오등동 10-34,33.4445482,126.5492536
제주베니스랜드,제주특별자치도 서귀포시 성산읍 난산리 2575,33.416195,126.840904
제주바다체험장,제주특별자치도 제주시 구좌읍 동복리 608-3,33.554684,126.722336
제주민속촌,제주특별자치도 서귀포시 표선면 민속해안로 631-34,33.32226,126.84201
제주민속오일시장,제주특별자치도 제주시 도두일동 1212,33.4965963,126.4746681
제주목관아,제주특별자치도 제주시 관덕로 25,33.514103,126.52193
제주러브랜드,제주특별자치도 제주시 연동 680-26,33.4519922,126.4890053
제주라프 짚라인,제주특별자치도 제주시 조천읍 선흘리 600,33.487106,126.706276
제주들불축제(2022년 취소),제주특별자치도 제주시 애월읍 봉성리 58-1,33.347317,126.379074
제주동백수목원,제주특별자치도 서귀포시 남원읍 위미리 927,33.272907,126.67505
제주돌문화공원,제주특별자치도 제주시 조천읍 교래리 산 95,33.4087482,126.635052
제주다원 녹차미로공원,제주특별자치도 서귀포시 색달동 산 50,33.290375,126.42282
제주관광공사 시내면세점(외국인),제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 제주신화월드 신화쇼핑스트리트 내,33.3044,126.31695
제주공룡랜드,제주특별자치도 제주시 애월읍 광령평화2길 1,33.44299,126.43244
제주 유채꽃 축제,제주특별자치도 서귀포시 표선면 가시리 3149-33,33.38845,126.74686
일출랜드,제주특별자치도 서귀포시 성산읍 삼달리 1010,33.38204,126.841965
이호테우해수욕장_old,제주특별자치도 제주시 이호2동 1600-1,33.496185,126.455956
이니스프리제주하우스,제주특별자치도 서귀포시 안덕면 서광리 1235-1,33.3063942,126.2905203
윗세오름(웃세오름),제주특별자치도 제주시 애월읍 광령리 산 183-1,33.3701721,126.4819697
위미리 동백나무군락,제주특별자치도 서귀포시 남원읍 위미리 903-1,33.27326,126.675934
월정리 카약체험장,제주특별자치도 제주시 구좌읍 월정리 1400-4,33.56346,126.78025
월령선인장군락지,제주특별자치도 제주시 한림읍 월령리 359,33.377865,126.21586
원앙폭포,제주특별자치도 서귀포시 상효동 1463,33.30053,126.58174
운정이네,제주특별자치도 서귀포시 안덕면 감산리 359-1,33.258415,126.35306
우도잠수함(제주씨월드),제주특별자치도 서귀포시 성산읍 성산리 347-9,33.47211,126.9332
우도산호해변 홍조단괴 서빈백사,제주특별자치도 제주시 우도면 연평리 2516-2,33.50230479,126.9432341
용연,제주특별자치도 제주시 용담이동 454-1,33.5152024,126.514026
오라동 청보리-메밀꽃밭,제주특별자치도 제주시 오라2동 산 76,33.426865,126.505775
여미지식물원,제주특별자치도 서귀포시 색달동 2484-1,33.252617,126.41435
에코파티,제주특별자치도 제주시 애월읍 유수암리 1905,33.409441,126.4118394
어승생,제주특별자치도 제주시 해안동 1100도로 555번지 (해안동 산220-12번지),33.397373,126.49035
약천사,제주특별자치도 서귀포시 대포동 1161,33.245766,126.44933
애월더선셋,제주특별자치도 제주시 애월읍 곽지리 1381,33.4560041,126.3089078
"알리사, 리턴 투 원더랜드",제주특별자치도 제주시 애월읍 신엄리 2768-7 SM 디지털아트뮤지움(빌라드애월호텔 전시관),33.4770982,126.3602203
알뜨르비행장,제주특별자치도 서귀포시 대정읍 상모리,33.221897,126.27413
안덕계곡,제주특별자치도 서귀포시 안덕면 감산리 359-1,33.25729495,126.352754
아부오름,제주특별자치도 제주시 구좌읍 송당리 산 164-1,33.44878,126.7774
아날로그감귤밭,제주특별자치도 제주시 해안동 2463,33.45559,126.451096
신화테마파크,서귀포시 안덕면 신화역사로304번길 98,33.299404,126.3193
신창풍차해안도로,제주특별자치도 제주시 한경면 신창리 1322-1,33.34303041,126.1746042
신창~차귀해안도로,제주특별자치도 제주시 한경면 신창리 1353-1,33.33567,126.16328
신비의도로카트체험장,제주특별자치도 제주시 노형동 187-3,33.461826,126.48475
신비의도로,제주특별자치도 제주시 1100로 2894-63,33.451225,126.487305
신라호텔제주,제주도 서귀포시 색달동 3039-3,33.24756,126.40812
시크릿가든촬영지,제주특별자치도 서귀포시 중문동 2563-1,33.242905,126.42043
순옥이네 명가,제주 제주시 도두1동 2615-5,33.505558,126.465065
수월봉,제주특별자치도 제주시 한경면 고산리 3760,33.294754,126.16345
수목원테마파크,제주특별자치도 제주시 연동 1320,33.47053,126.48797
세리월드 테마파크,제주특별자치도 서귀포시 법환동 877,33.247314,126.51267
세계자동차 & 피아노박물관,제주특별자치도 서귀포시 안덕면 상창리 2065-4,33.283195,126.34977
성이시돌목장,제주특별자치도 제주시 한림읍 금악리 116,33.3529941,126.3139406
선녀와나무꾼,제주특별자치도 제주시 조천읍 선흘리 1997,33.47903,126.70303
서연의집(영화 건축학개론),제주특별자치도 서귀포시 남원읍 위미리 2975,33.269413,126.655876
서귀포칠십리시공원,제주특별자치도 서귀포시 서홍동 576-9,33.24609,126.5538
서귀포잠수함(대국해저관광),제주특별자치도 서귀포시 서홍동 707-5 서귀포잠수함,33.2392231,126.5586562
서귀포유람선,제주특별자치도 서귀포시 서홍동 707-5,33.2392231,126.5586562
생각하는정원,제주특별자치도 제주시 한경면 저지리 1534,33.3257082,126.2552516
새연교,제주특별자치도 서귀포시 서홍동 707-4,33.238186,126.55907
삼다공원 야간콘서트·야몬딱털장,제주특별자치도 제주시 연동 292-41,33.48893,126.495674
산방산 용머리해안 지질트레일,제주특별자치도 서귀포시 안덕면 사계리 981,33.235634,126.30946
사라오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,33.371944,126.570915
비체올린,제주시 한경면 판포리 725번지,33.35901,126.21184
비양도,제주특별자치도 제주시 한림읍 협재리,33.40883871,126.2278571
브릭캠퍼스,제주특별자치도 제주시 노형동 244-1,33.45853572,126.4852027
붉은오름 자연휴양림,제주특별자치도 서귀포시 표선면 가시리 산 158,33.395905,126.669785
북촌돌하르방미술관,제주특별자치도 제주시 조천읍 북촌리 976,33.5387743,126.6887213
본태박물관,제주특별자치도 서귀포시 안덕면 상천리 380,33.303474,126.39206
벨롱장,제주시 구좌읍 세화리 1500-63,33.527386,126.85676
방주교회,제주특별자치도 서귀포시 안덕면 상천리 427,33.305073,126.387665
박수기정,제주특별자치도 서귀포시 안덕면 감산리 1010,33.2371317,126.358753
믿거나말거나박물관 제주,제주특별자치도 서귀포시 색달동 2864-2,33.25108,126.412766
물영아리오름,제주특별자치도 서귀포시 남원읍 수망리 189,33.3686617,126.6932064
몽상드애월(몽상),제주특별자치도 제주시 애월읍 애월리 2546,33.463326,126.309204
명진전복,제주특별자치도 제주시 구좌읍 평대리 515-28,33.53242,126.84985
"맛과 멋, 밤과 빛이 있는 <서귀포 원도심 여행>",제주특별자치도 서귀포시 서귀동 277-1,33.25017,126.563675
마방목지,제주특별자치도 제주시 용강동,33.42824,126.60599
마라도잠수함,제주특별자치도 서귀포시 안덕면 형제해안로 13,33.22783,126.305435
마노르블랑 핑크뮬리축제,제주특별자치도 서귀포시 안덕면 덕수리 2952,33.2542427,126.2946508
리치망고,제주특별자치도 제주시 애월읍 고내리 474-1,33.4683713,126.3402434
롯데호텔 제주,제주특별자치도 서귀포시 색달동 2812-4,33.2484577,126.4105487
