"","date","place","mean"
"161","05","애월읍",5.90322580645161
"162","06","애월읍",7.15
"163","07","애월읍",8.5
"164","08","애월읍",14.8225806451613
"165","09","애월읍",17.9333333333333
"166","10","애월읍",9.16129032258065
"167","11","애월읍",2.1
"168","12","애월읍",3.06451612903226
"169","01","연동",5.19230769230769
"170","02","연동",4.66463414634146
"171","03","연동",5.66129032258065
"172","04","연동",5.30555555555556
"173","05","연동",9.89516129032258
"174","06","연동",10.4583333333333
"175","07","연동",17.9193548387097
"176","08","연동",20.2459016393443
"177","09","연동",30.55
"178","10","연동",17.7622950819672
"179","11","연동",3.18333333333333
"180","12","연동",4.5
"181","01","예래동",2.1989247311828
"182","02","예래동",2.51764705882353
"183","03","예래동",3.15591397849462
"184","04","예래동",4.71666666666667
"185","05","예래동",10.0161290322581
"186","06","예래동",8.16666666666667
"187","07","예래동",5.58870967741935
"188","08","예래동",6.36885245901639
"189","09","예래동",9.9
"190","10","예래동",5.20967741935484
"191","11","예래동",1.19166666666667
"192","12","예래동",2.0241935483871
"193","01","오라동",2.86559139784946
"194","02","오라동",2.34117647058824
"195","03","오라동",3.68817204301075
"196","04","오라동",3.06111111111111
"197","05","오라동",3.3135593220339
"198","06","오라동",6.99166666666667
"199","07","오라동",8.41935483870968
"200","08","오라동",15.5483870967742
"201","09","오라동",21.725
"202","10","오라동",11.9112903225806
"203","11","오라동",1.63333333333333
"204","12","오라동",2.91129032258065
"205","01","외도동",2.2741935483871
"206","02","외도동",1.75882352941176
"207","03","외도동",2.54301075268817
"208","04","외도동",2.55
"209","05","외도동",2.84677419354839
"210","06","외도동",6.225
"211","07","외도동",7.85483870967742
"212","08","외도동",10.3548387096774
"213","09","외도동",14.95
"214","10","외도동",9.79838709677419
"215","11","외도동",1.23333333333333
"216","12","외도동",2.54032258064516
"217","01","용담1동",2.86559139784946
"218","02","용담1동",2.34117647058824
"219","03","용담1동",3.68817204301075
"220","04","용담1동",3.06111111111111
"221","05","용담1동",3.3135593220339
"222","06","용담1동",6.99166666666667
"223","07","용담1동",8.41935483870968
"224","08","용담1동",15.5483870967742
"225","09","용담1동",21.725
"226","10","용담1동",11.9112903225806
"227","11","용담1동",1.63333333333333
"228","12","용담1동",2.91129032258065
"229","01","용담2동",2.86559139784946
"230","02","용담2동",2.34117647058824
"231","03","용담2동",3.68817204301075
"232","04","용담2동",3.06111111111111
"233","05","용담2동",3.3135593220339
"234","06","용담2동",6.99166666666667
"235","07","용담2동",8.41935483870968
"236","08","용담2동",15.5483870967742
"237","09","용담2동",21.725
"238","10","용담2동",11.9112903225806
"239","11","용담2동",1.63333333333333
"240","12","용담2동",2.91129032258065
"241","01","우도면",1.58064516129032
"242","02","우도면",1.85119047619048
"243","03","우도면",3.51075268817204
"244","04","우도면",3.75555555555556
"245","05","우도면",5.12903225806452
"246","06","우도면",6.375
"247","07","우도면",8.31451612903226
"248","08","우도면",5.73387096774194
