district,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
남원읍,0.2679455942545613,0.23189036272757088,0.2108884101511477,0.2753247969315606,0.24515842210922148,0.24393173677855684,0.23036687683090523,0.23156981038854113,0.24262422408687076,0.24125765066773555,0.2684097434610578,0.2655100466975907
대륜동,0.32779527588660884,0.3169296844633232,0.2751177993174417,0.31154582971063643,0.27629955694526065,0.2783679438218773,0.2977627841295216,0.31610637780491746,0.28348888731035093,0.28664460792454916,0.2927494560107255,0.28864725718922524
대정읍,0.20104125597974762,0.20112764193494817,0.19537181438642226,0.2339459238207529,0.2173431410014898,0.19739896334145995,0.15954536486414433,0.206462995223603,0.22467615212527223,0.205693672931848,0.21887389349082892,0.20043978326107958
대천동,0.19839439356370797,0.17374639770214675,0.15866274025625915,0.1909216085909674,0.18180804908604914,0.18111766100087523,0.1696624441177124,0.18797848323710756,0.1805602345609744,0.1941876222665153,0.18358597024055417,0.1848795311964128
동홍동,0.19494595713419627,0.3297385432811211,0.17535075305490544,0.18581808864824986,0.29246422966258323,0.1805162320689381,0.206639130988794,0.31613618554019784,0.18878745680145517,0.29267546801269884,0.19462089287130774,0.33447627650296363
서홍동,0.10173632153492451,0.09458404861876155,0.09054248664691503,0.08995447345634958,0.0804030317861468,0.08332335491929499,0.07423496624880213,0.05833748680278196,0.09056178790996938,0.061376932117762475,0.08639913029613694,0.093432045918626
성산읍,0.2572103373272934,0.3514625960320223,0.23294894199927496,0.3024192238941267,0.46336596510775185,0.28261850351679074,0.2849092994449474,0.43248541227785503,0.2684077363213573,0.41586470738979553,0.2286931060231076,0.3435011724223599
송산동,0.040162654311382745,0.03471385448392416,0.017678596371497594,0.027716210227190556,0.026330592617190278,0.023979394451732715,0.013165476236563105,0.022638893079386727,0.01770545670911952,0.012472248923650203,0.019261135838797176,0.0387568735622882
안덕면,0.3371974876465831,0.3148630297131377,0.30238879327870355,0.3944019073504525,0.33647141212876136,0.3360009346803869,0.3145573555360124,0.40351184726370415,0.3224127873420275,0.3092591414615833,0.3046173087121525,0.31846584923179566
영천동,0.11825802272199587,0.11963192719756532,0.1319476128850849,0.1202310429179024,0.11317181574771515,0.11241110435193175,0.08363873834001456,0.08771357570702248,0.0894472970750042,0.08643412565517072,0.0871216866751007,0.12313305062023486
