district,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
한경면,0.857142857,0.771428571,0.880952381,0.771428571,0.121212121,0.05,0.571428571,0.608695652,1,1,1,1
남원읍,0,0,0,0.257142857,0,0,0,0.739130435,0,0,0,0
노형동,0.6,0.514285714,0.857142857,0.942857143,1,0.75,0.142857143,0.47826087,0.909090909,0.583333333,0.218181818,0.766666667
대정읍,0.8,0.742857143,0.976190476,0,0.818181818,0.65,0.666666667,1,0.333333333,0.527777778,0.636363636,0.466666667
동홍동,0.371428571,0.342857143,0.238095238,0.4,0.03030303,0.05,0.476190476,0.52173913,0.303030303,0.222222222,0.345454545,0.4
성산읍,0.485714286,0.6,0.714285714,0.657142857,0.545454545,0.7,1,0.565217391,0.424242424,0.305555556,0.527272727,0.2
연동,1,1,1,1,0.818181818,1,0.761904762,0.391304348,0.727272727,0.5,0.781818182,0.933333333
이도동,0.971428571,0.971428571,0.976190476,0.8,0.666666667,0.8,0.761904762,0,0.727272727,0.694444444,0.781818182,0.966666667
