"","date","place","mean"
"162","06","애월읍",19.495
"163","07","애월읍",23.908064516129
"164","08","애월읍",25.2225806451613
"165","09","애월읍",20.815
"166","10","애월읍",14.5370967741935
"167","11","애월읍",9.92333333333333
"168","12","애월읍",5.06774193548387
"169","01","연동",-1.17032967032967
"170","02","연동",0.2625
"171","03","연동",4.93118279569893
"172","04","연동",8.55
"173","05","연동",13.7161290322581
"174","06","연동",16.1833333333333
"175","07","연동",20.255
"176","08","연동",21.0457627118644
"177","09","연동",17.2084745762712
"178","10","연동",10.2
"179","11","연동",5.86833333333333
"180","12","연동",1.03064516129032
"181","01","예래동",6.60752688172043
"182","02","예래동",7.49176470588235
"183","03","예래동",11.0395604395604
"184","04","예래동",14.0155555555556
"185","05","예래동",18.6596774193548
"186","06","예래동",20.9333333333333
"187","07","예래동",25.095
"188","08","예래동",26.9406779661017
"189","09","예래동",23.3894736842105
"190","10","예래동",17.9596774193548
"191","11","예래동",13.9783333333333
"192","12","예래동",9.05806451612903
"193","01","오라동",3.85698924731183
"194","02","오라동",4.50705882352941
"195","03","오라동",8.67826086956522
"196","04","오라동",12.2522222222222
"197","05","오라동",18.0693548387097
"198","06","오라동",20.425
"199","07","오라동",24.5467741935484
"200","08","오라동",25.8633333333333
"201","09","오라동",21.5366666666667
"202","10","오라동",15.7225806451613
"203","11","오라동",11.1916666666667
"204","12","오라동",6.53934426229508
"205","01","외도동",5.44086021505376
"206","02","외도동",5.95294117647059
"207","03","외도동",9.7989247311828
"208","04","외도동",12.9733333333333
"209","05","외도동",18.1967741935484
"210","06","외도동",20.8166666666667
"211","07","외도동",25.2741935483871
"212","08","외도동",27.1758064516129
"213","09","외도동",22.765
"214","10","외도동",17.1887096774194
"215","11","외도동",12.7233333333333
"216","12","외도동",7.51147540983607
"217","01","용담1동",3.85698924731183
"218","02","용담1동",4.50705882352941
"219","03","용담1동",8.67826086956522
"220","04","용담1동",12.2522222222222
"221","05","용담1동",18.0693548387097
"222","06","용담1동",20.425
"223","07","용담1동",24.5467741935484
"224","08","용담1동",25.8633333333333
"225","09","용담1동",21.5366666666667
"226","10","용담1동",15.7225806451613
"227","11","용담1동",11.1916666666667
"228","12","용담1동",6.53934426229508
"229","01","용담2동",3.85698924731183
"230","02","용담2동",4.50705882352941
